user_id,signup_date,activity_date
c000000,2025-12-28,2025-12-28
c000000,2025-12-28,2026-01-31
c000000,2025-12-28,2026-02-07
c000001,2025-12-28,2025-12-28
c000001,2025-12-28,2026-01-14
c000001,2025-12-28,2026-01-22
c000001,2025-12-28,2026-01-25
c000001,2025-12-28,2026-03-24
c000002,2025-12-28,2025-12-28
c000002,2025-12-28,2026-01-04
c000002,2025-12-28,2026-01-11
c000002,2025-12-28,2026-02-09
c000002,2025-12-28,2026-03-18
c000003,2025-12-28,2025-12-28
c000003,2025-12-28,2026-01-10
c000003,2025-12-28,2026-01-16
c000003,2025-12-28,2026-02-20
c000004,2025-12-28,2025-12-28
c000004,2025-12-28,2026-01-08
c000004,2025-12-28,2026-01-30
c000004,2025-12-28,2026-02-03
c000004,2025-12-28,2026-02-09
c000004,2025-12-28,2026-03-09
c000005,2025-12-28,2025-12-28
c000005,2025-12-28,2026-01-11
c000006,2025-12-28,2025-12-28
c000007,2025-12-28,2025-12-28
c000007,2025-12-28,2026-01-15
c000007,2025-12-28,2026-01-18
c000008,2025-12-28,2025-12-28
c000008,2025-12-28,2026-01-15
c000008,2025-12-28,2026-01-24
c000008,2025-12-28,2026-02-27
c000009,2025-12-28,2025-12-28
c000009,2025-12-28,2026-01-04
c000009,2025-12-28,2026-01-17
c000010,2025-12-28,2025-12-28
c000010,2025-12-28,2026-01-10
c000010,2025-12-28,2026-01-16
c000010,2025-12-28,2026-01-21
c000010,2025-12-28,2026-01-29
c000011,2025-12-28,2025-12-28
c000011,2025-12-28,2026-02-19
c000012,2025-12-28,2025-12-28
c000012,2025-12-28,2026-01-06
c000012,2025-12-28,2026-01-23
c000012,2025-12-28,2026-01-25
c000012,2025-12-28,2026-02-01
c000013,2025-12-28,2025-12-28
c000013,2025-12-28,2026-01-04
c000013,2025-12-28,2026-01-16
c000013,2025-12-28,2026-01-19
c000013,2025-12-28,2026-01-30
c000013,2025-12-28,2026-02-06
c000013,2025-12-28,2026-02-27
c000014,2025-12-28,2025-12-28
c000014,2025-12-28,2026-01-12
c000014,2025-12-28,2026-01-20
c000014,2025-12-28,2026-01-27
c000014,2025-12-28,2026-02-03
c000014,2025-12-28,2026-02-11
c000014,2025-12-28,2026-03-06
c000015,2025-12-28,2025-12-28
c000015,2025-12-28,2026-01-08
c000015,2025-12-28,2026-01-17
c000015,2025-12-28,2026-02-06
c000015,2025-12-28,2026-02-25
c000016,2025-12-28,2025-12-28
c000016,2025-12-28,2026-01-11
c000016,2025-12-28,2026-02-15
c000017,2025-12-28,2025-12-28
c000017,2025-12-28,2026-01-04
c000017,2025-12-28,2026-01-15
c000017,2025-12-28,2026-01-26
c000018,2025-12-28,2025-12-28
c000018,2025-12-28,2026-01-13
c000018,2025-12-28,2026-01-18
c000018,2025-12-28,2026-01-25
c000018,2025-12-28,2026-02-05
c000018,2025-12-28,2026-02-14
c000018,2025-12-28,2026-02-23
c000018,2025-12-28,2026-03-27
c000019,2025-12-28,2025-12-28
c000019,2025-12-28,2026-02-07
c000020,2025-12-28,2025-12-28
c000020,2025-12-28,2026-01-09
c000020,2025-12-28,2026-01-26
c000020,2025-12-28,2026-03-17
c000021,2025-12-28,2025-12-28
c000021,2025-12-28,2026-01-12
c000021,2025-12-28,2026-01-18
c000021,2025-12-28,2026-01-31
c000021,2025-12-28,2026-02-14
c000021,2025-12-28,2026-02-26
c000022,2025-12-28,2025-12-28
c000022,2025-12-28,2026-01-23
c000022,2025-12-28,2026-02-06
c000022,2025-12-28,2026-02-28
c000023,2025-12-28,2025-12-28
c000023,2025-12-28,2026-02-03
c000023,2025-12-28,2026-03-19
c000024,2025-12-28,2025-12-28
c000024,2025-12-28,2026-01-15
c000024,2025-12-28,2026-01-20
c000024,2025-12-28,2026-02-28
c000025,2025-12-28,2025-12-28
c000025,2025-12-28,2026-01-05
c000025,2025-12-28,2026-01-12
c000025,2025-12-28,2026-01-20
c000025,2025-12-28,2026-02-10
c000025,2025-12-28,2026-02-17
c000025,2025-12-28,2026-02-25
c000026,2025-12-28,2025-12-28
c000026,2025-12-28,2026-01-09
c000026,2025-12-28,2026-01-21
c000026,2025-12-28,2026-02-06
c000027,2025-12-28,2025-12-28
c000027,2025-12-28,2026-01-17
c000027,2025-12-28,2026-02-03
c000027,2025-12-28,2026-03-22
c000028,2025-12-28,2025-12-28
c000028,2025-12-28,2026-01-15
c000028,2025-12-28,2026-01-30
c000028,2025-12-28,2026-02-01
c000028,2025-12-28,2026-02-11
c000029,2025-12-28,2025-12-28
c000029,2025-12-28,2026-01-06
c000029,2025-12-28,2026-01-15
c000029,2025-12-28,2026-02-07
c000029,2025-12-28,2026-02-13
c000030,2025-12-28,2025-12-28
c000030,2025-12-28,2026-01-21
c000030,2025-12-28,2026-01-26
c000030,2025-12-28,2026-03-02
c000031,2025-12-28,2025-12-28
c000031,2025-12-28,2026-01-07
c000031,2025-12-28,2026-01-20
c000031,2025-12-28,2026-03-01
c000032,2025-12-28,2025-12-28
c000032,2025-12-28,2026-01-08
c000032,2025-12-28,2026-01-21
c000033,2025-12-28,2025-12-28
c000033,2025-12-28,2026-01-16
c000033,2025-12-28,2026-01-20
c000033,2025-12-28,2026-02-13
c000034,2025-12-28,2025-12-28
c000034,2025-12-28,2026-01-05
c000034,2025-12-28,2026-01-17
c000034,2025-12-28,2026-02-05
c000035,2025-12-28,2025-12-28
c000035,2025-12-28,2026-01-11
c000035,2025-12-28,2026-01-29
c000035,2025-12-28,2026-02-01
c000035,2025-12-28,2026-02-08
c000036,2025-12-28,2025-12-28
c000036,2025-12-28,2026-01-07
c000036,2025-12-28,2026-01-16
c000036,2025-12-28,2026-01-19
c000036,2025-12-28,2026-02-20
c000037,2025-12-28,2025-12-28
c000037,2025-12-28,2026-02-28
c000038,2025-12-28,2025-12-28
c000038,2025-12-28,2026-02-16
c000039,2025-12-28,2025-12-28
c000039,2025-12-28,2026-01-05
c000039,2025-12-28,2026-02-17
c000039,2025-12-28,2026-03-04
c000040,2025-12-28,2025-12-28
c000040,2025-12-28,2026-01-22
c000040,2025-12-28,2026-01-28
c000040,2025-12-28,2026-02-01
c000041,2025-12-28,2025-12-28
c000041,2025-12-28,2026-01-05
c000041,2025-12-28,2026-02-23
c000041,2025-12-28,2026-03-21
c000042,2025-12-28,2025-12-28
c000042,2025-12-28,2026-02-10
c000042,2025-12-28,2026-02-22
c000043,2025-12-28,2025-12-28
c000043,2025-12-28,2026-01-11
c000043,2025-12-28,2026-01-29
c000043,2025-12-28,2026-02-10
c000044,2025-12-28,2025-12-28
c000044,2025-12-28,2026-01-17
c000044,2025-12-28,2026-01-30
c000044,2025-12-28,2026-02-03
c000044,2025-12-28,2026-03-16
c000045,2025-12-28,2025-12-28
c000045,2025-12-28,2026-01-21
c000045,2025-12-28,2026-02-21
c000046,2025-12-28,2025-12-28
c000046,2025-12-28,2026-01-04
c000046,2025-12-28,2026-01-11
c000046,2025-12-28,2026-01-20
c000046,2025-12-28,2026-02-02
c000046,2025-12-28,2026-02-22
c000047,2025-12-28,2025-12-28
c000047,2025-12-28,2026-01-11
c000047,2025-12-28,2026-03-07
c000047,2025-12-28,2026-03-12
c000048,2025-12-28,2025-12-28
c000048,2025-12-28,2026-01-04
c000048,2025-12-28,2026-01-25
c000048,2025-12-28,2026-02-25
c000049,2025-12-28,2025-12-28
c000049,2025-12-28,2026-01-13
c000049,2025-12-28,2026-01-20
c000049,2025-12-28,2026-01-29
c000049,2025-12-28,2026-02-19
c000050,2025-12-28,2025-12-28
c000050,2025-12-28,2026-01-16
c000050,2025-12-28,2026-01-29
c000050,2025-12-28,2026-02-02
c000050,2025-12-28,2026-02-13
c000051,2025-12-28,2025-12-28
c000051,2025-12-28,2026-01-09
c000051,2025-12-28,2026-01-11
c000051,2025-12-28,2026-03-17
c000052,2025-12-28,2025-12-28
c000052,2025-12-28,2026-01-08
c000052,2025-12-28,2026-01-14
c000052,2025-12-28,2026-02-14
c000052,2025-12-28,2026-03-28
c000053,2025-12-28,2025-12-28
c000053,2025-12-28,2026-01-09
c000053,2025-12-28,2026-01-29
c000053,2025-12-28,2026-02-06
c000054,2025-12-28,2025-12-28
c000054,2025-12-28,2026-01-04
c000054,2025-12-28,2026-01-13
c000054,2025-12-28,2026-02-12
c000054,2025-12-28,2026-02-20
c000055,2025-12-28,2025-12-28
c000055,2025-12-28,2026-01-07
c000055,2025-12-28,2026-01-16
c000055,2025-12-28,2026-01-22
c000055,2025-12-28,2026-01-29
c000056,2025-12-28,2025-12-28
c000056,2025-12-28,2026-01-05
c000056,2025-12-28,2026-01-15
c000056,2025-12-28,2026-02-06
c000057,2025-12-28,2025-12-28
c000057,2025-12-28,2026-01-09
c000057,2025-12-28,2026-01-17
c000057,2025-12-28,2026-01-26
c000057,2025-12-28,2026-02-25
c000058,2025-12-28,2025-12-28
c000058,2025-12-28,2026-01-09
c000058,2025-12-28,2026-01-28
c000059,2025-12-28,2025-12-28
c000059,2025-12-28,2026-01-08
c000059,2025-12-28,2026-01-24
c000059,2025-12-28,2026-03-27
c000060,2025-12-28,2025-12-28
c000060,2025-12-28,2026-01-13
c000060,2025-12-28,2026-02-20
c000061,2025-12-28,2025-12-28
c000061,2025-12-28,2026-01-08
c000061,2025-12-28,2026-01-17
c000061,2025-12-28,2026-01-27
c000061,2025-12-28,2026-02-04
c000061,2025-12-28,2026-02-10
c000061,2025-12-28,2026-03-16
c000062,2025-12-28,2025-12-28
c000062,2025-12-28,2026-01-05
c000062,2025-12-28,2026-02-07
c000063,2025-12-28,2025-12-28
c000063,2025-12-28,2026-01-05
c000063,2025-12-28,2026-01-22
c000063,2025-12-28,2026-01-27
c000063,2025-12-28,2026-02-22
c000064,2025-12-28,2025-12-28
c000064,2025-12-28,2026-01-05
c000064,2025-12-28,2026-01-21
c000064,2025-12-28,2026-02-06
c000064,2025-12-28,2026-02-18
c000065,2025-12-28,2025-12-28
c000065,2025-12-28,2026-01-23
c000066,2025-12-28,2025-12-28
c000066,2025-12-28,2026-02-06
c000066,2025-12-28,2026-02-28
c000066,2025-12-28,2026-03-02
c000067,2025-12-28,2025-12-28
c000067,2025-12-28,2026-01-10
c000067,2025-12-28,2026-02-06
c000067,2025-12-28,2026-02-13
c000068,2025-12-28,2025-12-28
c000068,2025-12-28,2026-01-09
c000068,2025-12-28,2026-01-16
c000069,2025-12-28,2025-12-28
c000069,2025-12-28,2026-01-17
c000069,2025-12-28,2026-01-21
c000069,2025-12-28,2026-01-26
c000069,2025-12-28,2026-02-01
c000070,2025-12-28,2025-12-28
c000070,2025-12-28,2026-01-04
c000071,2025-12-28,2025-12-28
c000071,2025-12-28,2026-01-08
c000071,2025-12-28,2026-02-08
c000072,2025-12-28,2025-12-28
c000072,2025-12-28,2026-01-18
c000072,2025-12-28,2026-02-28
c000073,2025-12-28,2025-12-28
c000073,2025-12-28,2026-01-10
c000073,2025-12-28,2026-02-10
c000074,2025-12-28,2025-12-28
c000074,2025-12-28,2026-01-17
c000074,2025-12-28,2026-01-23
c000074,2025-12-28,2026-02-06
c000074,2025-12-28,2026-02-22
c000075,2025-12-28,2025-12-28
c000075,2025-12-28,2026-01-28
c000075,2025-12-28,2026-02-12
c000076,2025-12-28,2025-12-28
c000076,2025-12-28,2026-01-04
c000076,2025-12-28,2026-01-17
c000076,2025-12-28,2026-01-30
c000076,2025-12-28,2026-02-10
c000076,2025-12-28,2026-03-06
c000076,2025-12-28,2026-03-24
c000077,2025-12-28,2025-12-28
c000077,2025-12-28,2026-01-05
c000077,2025-12-28,2026-01-19
c000077,2025-12-28,2026-01-25
c000077,2025-12-28,2026-03-12
c000078,2025-12-28,2025-12-28
c000078,2025-12-28,2026-01-09
c000078,2025-12-28,2026-01-16
c000078,2025-12-28,2026-01-19
c000078,2025-12-28,2026-02-01
c000078,2025-12-28,2026-02-17
c000078,2025-12-28,2026-03-03
c000079,2025-12-28,2025-12-28
c000079,2025-12-28,2026-01-09
c000079,2025-12-28,2026-01-14
c000079,2025-12-28,2026-03-02
c000080,2025-12-28,2025-12-28
c000080,2025-12-28,2026-01-09
c000080,2025-12-28,2026-01-29
c000080,2025-12-28,2026-02-01
c000081,2025-12-28,2025-12-28
c000081,2025-12-28,2026-01-15
c000081,2025-12-28,2026-01-26
c000081,2025-12-28,2026-02-07
c000081,2025-12-28,2026-02-10
c000082,2025-12-28,2025-12-28
c000082,2025-12-28,2026-01-17
c000083,2025-12-28,2025-12-28
c000083,2025-12-28,2026-01-04
c000083,2025-12-28,2026-01-26
c000083,2025-12-28,2026-02-20
c000083,2025-12-28,2026-03-07
c000084,2025-12-28,2025-12-28
c000084,2025-12-28,2026-01-04
c000084,2025-12-28,2026-01-13
c000084,2025-12-28,2026-01-31
c000085,2025-12-28,2025-12-28
c000085,2025-12-28,2026-01-30
c000085,2025-12-28,2026-02-01
c000086,2025-12-28,2025-12-28
c000086,2025-12-28,2026-01-21
c000086,2025-12-28,2026-02-15
c000086,2025-12-28,2026-02-23
c000087,2025-12-28,2025-12-28
c000087,2025-12-28,2026-01-10
c000087,2025-12-28,2026-01-20
c000088,2025-12-28,2025-12-28
c000089,2025-12-28,2025-12-28
c000089,2025-12-28,2026-01-14
c000089,2025-12-28,2026-02-07
c000089,2025-12-28,2026-02-23
c000089,2025-12-28,2026-03-11
c000090,2025-12-28,2025-12-28
c000090,2025-12-28,2026-01-09
c000090,2025-12-28,2026-01-15
c000090,2025-12-28,2026-02-21
c000090,2025-12-28,2026-03-18
c000091,2025-12-28,2025-12-28
c000091,2025-12-28,2026-01-12
c000091,2025-12-28,2026-01-18
c000091,2025-12-28,2026-02-01
c000091,2025-12-28,2026-03-21
c000092,2025-12-28,2025-12-28
c000092,2025-12-28,2026-01-09
c000092,2025-12-28,2026-01-21
c000093,2025-12-28,2025-12-28
c000093,2025-12-28,2026-01-21
c000093,2025-12-28,2026-01-30
c000093,2025-12-28,2026-02-16
c000094,2025-12-28,2025-12-28
c000094,2025-12-28,2026-01-09
c000094,2025-12-28,2026-02-28
c000095,2025-12-28,2025-12-28
c000095,2025-12-28,2026-01-05
c000095,2025-12-28,2026-02-04
c000095,2025-12-28,2026-03-02
c000095,2025-12-28,2026-03-14
c000096,2025-12-28,2025-12-28
c000096,2025-12-28,2026-03-23
c000097,2025-12-28,2025-12-28
c000097,2025-12-28,2026-01-18
c000098,2025-12-28,2025-12-28
c000098,2025-12-28,2026-01-12
c000098,2025-12-28,2026-01-31
c000099,2025-12-28,2025-12-28
c000099,2025-12-28,2026-01-20
c000100,2025-12-28,2025-12-28
c000100,2025-12-28,2026-01-06
c000100,2025-12-28,2026-01-13
c000100,2025-12-28,2026-02-28
c000101,2025-12-28,2025-12-28
c000101,2025-12-28,2026-01-09
c000101,2025-12-28,2026-01-14
c000101,2025-12-28,2026-01-19
c000102,2025-12-28,2025-12-28
c000102,2025-12-28,2026-01-14
c000102,2025-12-28,2026-01-18
c000102,2025-12-28,2026-02-02
c000103,2025-12-28,2025-12-28
c000103,2025-12-28,2026-01-15
c000103,2025-12-28,2026-02-05
c000103,2025-12-28,2026-02-14
c000103,2025-12-28,2026-02-27
c000104,2025-12-28,2025-12-28
c000104,2025-12-28,2026-01-08
c000104,2025-12-28,2026-01-18
c000104,2025-12-28,2026-02-20
c000105,2025-12-28,2025-12-28
c000105,2025-12-28,2026-01-09
c000105,2025-12-28,2026-01-24
c000106,2025-12-28,2025-12-28
c000106,2025-12-28,2026-02-09
c000106,2025-12-28,2026-02-16
c000107,2025-12-28,2025-12-28
c000107,2025-12-28,2026-01-05
c000107,2025-12-28,2026-01-16
c000108,2025-12-28,2025-12-28
c000108,2025-12-28,2026-01-07
c000108,2025-12-28,2026-01-15
c000109,2025-12-28,2025-12-28
c000109,2025-12-28,2026-01-06
c000109,2025-12-28,2026-01-20
c000109,2025-12-28,2026-02-16
c000109,2025-12-28,2026-03-28
