date,spend,conversions
2025-09-15,1699.59,36
2025-09-16,2226.53,38
2025-09-17,2170.72,40
2025-09-18,1948.42,44
2025-09-19,1705.62,42
2025-09-20,1587.64,41
2025-09-21,1409.58,40
2025-09-22,1884.96,37
2025-09-23,2120.59,54
2025-09-24,1992.37,54
2025-09-25,1969.7,51
2025-09-26,1611.12,35
2025-09-27,1421.76,40
2025-09-28,1460.14,36
2025-09-29,1802.03,43
2025-09-30,2283.82,43
2025-10-01,2388.74,50
2025-10-02,2135.83,51
2025-10-03,1819.33,40
2025-10-04,1430.15,37
2025-10-05,1472.07,35
2025-10-06,1685.98,38
2025-10-07,2638.55,55
2025-10-08,2167.74,63
2025-10-09,2041.88,48
2025-10-10,1594.87,38
2025-10-11,1403.03,35
2025-10-12,1470.03,41
2025-10-13,1742.66,39
2025-10-14,2215.95,62
2025-10-15,2606.66,54
2025-10-16,2218.7,51
2025-10-17,1806.4,34
2025-10-18,1415.74,37
2025-10-19,1657.18,37
2025-10-20,2158.72,42
2025-10-21,2211.07,57
2025-10-22,2447.24,55
2025-10-23,2066.06,55
2025-10-24,1614.82,41
2025-10-25,1409.77,33
2025-10-26,1731.48,40
2025-10-27,1975.79,49
2025-10-28,2626.27,51
2025-10-29,2402.7,53
2025-10-30,2249.69,45
2025-10-31,1732.17,38
2025-11-01,1584.6,35
2025-11-02,1645.67,41
2025-11-03,2076.66,51
2025-11-04,2257.18,58
2025-11-05,2438.11,65
2025-11-06,2088.95,55
2025-11-07,1848.7,43
2025-11-08,1626.77,38
2025-11-09,1824.76,41
2025-11-10,2278.32,50
2025-11-11,2416.23,52
2025-11-12,2357.09,63
2025-11-13,2094.35,56
2025-11-14,1957.48,44
2025-11-15,1554.58,40
2025-11-16,1843.25,42
2025-11-17,2012.7,51
2025-11-18,2218.96,60
2025-11-19,2783.8,58
2025-11-20,2370.79,50
2025-11-21,1981.56,46
2025-11-22,1416.69,35
2025-11-23,1748.19,42
2025-11-24,2436.12,47
2025-11-25,2534.16,56
2025-11-26,2603.71,66
2025-11-27,2452.6,62
2025-11-28,1792.55,51
2025-11-29,1591.85,39
2025-11-30,1842.87,46
2025-12-01,2028.8,58
2025-12-02,2274.15,63
2025-12-03,2582.84,62
2025-12-04,2443.78,65
2025-12-05,1946.75,45
2025-12-06,1492.35,47
2025-12-07,1882.63,45
2025-12-08,2468.77,53
2025-12-09,2569.66,53
2025-12-10,2444.3,66
2025-12-11,2339.26,64
2025-12-12,2012.84,50
2025-12-13,1616.67,31
2025-12-14,1743.89,40
2025-12-15,2232.21,62
2025-12-16,2798.72,63
2025-12-17,2843.96,54
2025-12-18,2238.69,56
2025-12-19,1957.94,50
2025-12-20,1517.8,43
2025-12-21,1950.92,43
2025-12-22,2156.66,54
2025-12-23,2568.11,67
2025-12-24,3119.77,65
2025-12-25,2422.13,53
2025-12-26,2108.2,47
2025-12-27,1614.81,32
2025-12-28,1888.58,44
2025-12-29,2478.12,50
2025-12-30,2689.71,70
2025-12-31,2884.48,73
2026-01-01,2557.12,60
2026-01-02,1840.26,51
2026-01-03,1555.8,38
2026-01-04,1753.29,42
2026-01-05,2319.69,64
2026-01-06,2362.4,68
2026-01-07,2894.95,72
2026-01-08,2635.17,63
2026-01-09,2000.98,42
2026-01-10,1891.35,35
2026-01-11,1948.87,44
2026-01-12,2225.49,58
2026-01-13,2585.18,51
2026-01-14,2985.46,69
2026-01-15,2592.51,61
2026-01-16,2104.13,48
2026-01-17,1526.11,41
2026-01-18,1903.79,42
2026-01-19,2258.54,52
2026-01-20,2681.6,61
2026-01-21,2909.96,69
2026-01-22,2479.39,55
2026-01-23,2076.85,50
2026-01-24,1768.27,34
2026-01-25,2010.3,43
2026-01-26,2375.22,51
2026-01-27,2883.35,63
2026-01-28,2949.63,69
2026-01-29,2772.31,62
2026-01-30,1977.78,48
2026-01-31,1854.84,43
2026-02-01,1867.98,48
2026-02-02,2381.17,62
2026-02-03,2619.65,67
2026-02-04,3219.38,67
2026-02-05,2855.84,62
2026-02-06,2459.33,48
2026-02-07,1825.83,44
2026-02-08,2049.28,46
2026-02-09,2477.36,54
2026-02-10,2845.61,62
2026-02-11,2799.04,82
2026-02-12,2914.08,66
2026-02-13,2106.78,58
2026-02-14,1945.44,46
2026-02-15,2186.05,44
2026-02-16,2460.51,61
2026-02-17,2936.13,72
2026-02-18,2850.47,65
2026-02-19,2671.91,70
2026-02-20,2153.75,46
2026-02-21,1942.46,44
2026-02-22,1840.08,48
2026-02-23,2628.06,61
2026-02-24,3014.03,68
