user_id,revenue,orders
s000000,100.06,2
s000001,114.99,2
s000002,46.33,1
s000003,291.02,3
s000004,338.29,4
s000005,78.87,1
s000006,356.63,3
s000007,252.15,3
s000008,143.23,2
s000009,0.0,0
s000010,171.1,2
s000011,0.0,0
s000012,332.32,3
s000013,177.69,3
s000014,332.11,4
s000015,79.61,1
s000016,84.52,1
s000017,0.0,0
s000018,88.69,1
s000019,0.0,0
s000020,214.21,4
s000021,58.58,1
s000022,126.22,2
s000023,111.86,1
s000024,0.0,0
s000025,123.33,1
s000026,47.87,1
s000027,229.53,3
s000028,71.38,1
s000029,103.62,2
s000030,527.89,5
s000031,323.85,4
s000032,45.17,1
s000033,383.2,4
s000034,299.92,4
s000035,174.31,3
s000036,66.45,1
s000037,228.46,3
s000038,175.19,2
s000039,69.86,1
s000040,134.22,2
s000041,140.5,2
s000042,143.89,2
s000043,168.39,2
s000044,0.0,0
s000045,148.42,4
s000046,0.0,0
s000047,344.05,3
s000048,24.73,1
s000049,137.44,2
s000050,345.23,3
s000051,127.35,2
s000052,178.92,2
s000053,226.82,2
s000054,0.0,0
s000055,118.82,1
s000056,84.06,1
s000057,0.0,0
s000058,0.0,0
s000059,327.01,3
s000060,0.0,0
s000061,67.62,1
s000062,650.64,6
s000063,72.58,1
s000064,320.79,3
s000065,189.66,1
s000066,238.97,3
s000067,0.0,0
s000068,0.0,0
s000069,128.78,2
s000070,0.0,0
s000071,329.32,5
s000072,178.57,2
s000073,345.89,3
s000074,138.1,2
s000075,0.0,0
s000076,225.87,3
s000077,126.31,2
s000078,54.85,1
s000079,0.0,0
s000080,0.0,0
s000081,100.37,1
s000082,0.0,0
s000083,141.34,1
s000084,189.78,3
s000085,0.0,0
s000086,100.03,1
s000087,80.28,1
s000088,216.57,3
s000089,242.86,3
s000090,223.29,3
s000091,162.28,1
s000092,313.61,2
s000093,69.68,1
s000094,0.0,0
s000095,146.66,3
s000096,151.91,2
s000097,504.09,4
s000098,101.1,1
s000099,52.96,1
s000100,0.0,0
s000101,210.32,3
s000102,481.77,5
s000103,28.2,1
s000104,343.3,2
s000105,0.0,0
s000106,196.08,3
s000107,33.11,1
s000108,88.36,2
s000109,267.29,3
s000110,115.5,2
s000111,98.33,1
s000112,65.56,1
s000113,299.85,3
s000114,188.33,2
s000115,337.99,5
s000116,115.5,1
s000117,0.0,0
s000118,216.95,4
s000119,132.44,2
s000120,0.0,0
s000121,118.5,2
s000122,30.86,1
s000123,115.73,1
